station,latitude,longitude,river,RPI,DO(Electrode),BOD5,SS,NH3-N,pH,temperature
Fonhua Bridge,23.05908388888889,120.27777694444444,Yanshuei River,4.75,3.4,2.0,52.4,2.50,7.89,32.6
Yungan Bridge,23.05138888888889,120.2395,Yanshuei River,4.25,5.2,2.0,27.3,3.26,7.54,30.8
Taiping Bridge,23.02499111111111,120.21554611111111,Yanshuei River,5.00,2.2,1.9,24.9,4.77,7.40,31.2
Yanshuei River Bridge,23.019773055555554,120.19246805555557,Yanshuei River,6.00,1.4,2.4,25.1,3.14,7.43,30.8
Erntsun Bridge,22.916728000000003,120.46046194444445,Erren River,3.25,7.1,2.1,1970,0.42,7.98,27.4
Gootin Bridge,22.888018055555555,120.39633500000001,Erren River,5.00,5.5,3.0,6020,1.06,8.16,27.7
Chongdeda Bridge,22.875676944444447,120.36184694444444,Erren River,4.75,4.8,3.3,18200,0.56,7.94,27.8
Nansyong Bridge,22.889388888888888,120.33819444444444,Erren River,4.25,4.8,2.9,10400,0.53,7.88,27.9
Shihan Bridge,22.900694444444444,120.31019444444445,Erren River,5.00,3.9,3.0,8320,0.63,7.81,28.7
Erntsuncin Bridge,22.915499999999998,120.22608333333334,Erren River,5.75,3.4,2.3,2380,1.45,7.73,28.9
Nandin Bridge,22.918726,120.18458600000001,Erren River,7.00,4.3,7.0,17100,2.10,7.62,29.8
Chenguo Village,22.998721111111113,120.25059997222222,Erren River,3.25,5.7,2.9,26.2,2.54,7.70,30.4
Wukon Bridge,22.927526111111113,120.22161305555555,Erren River,5.75,3.0,2.0,101,1.40,7.40,29.8
Yunnin Bridge,22.925191944444446,120.19435694444445,Erren River,－,－,－,－,－,－,0
Agongdian River,22.803250000000002,120.36121,Agongdian River,2.25,8.8,1.8,51.4,0.01,8.51,32.7
High Speed Rail Bridge,22.80388888888889,120.32822,Agongdian River,4.00,2.7,1.2,40.3,1.18,7.59,33.0
Agongdian Bridge,22.785304972222225,120.29710305555555,Agongdian River,3.75,5.6,3.2,29.8,2.22,7.70,32.4
Cianchou Bridge,22.802938055555558,120.27987083333333,Agongdian River,7.25,1.0,9.3,23.8,7.47,7.68,32.6
Geogon Bridge,22.800741972222223,120.23212694444445,Agongdian River,5.50,2.8,4.4,22.0,5.21,7.71,32.1
Ligangda Bridge,22.79447888888889,120.50339111111111,Gaoping River,3.25,7.7,<1.0,1640,0.03,8.24,25.7
Linko Bridge,22.77067111111111,120.45271,Gaoping River,3.25,7.9,<1.0,3620,0.03,8.14,25.6
Gaopingda Bridge,22.64712611111111,120.43741111111112,Gaoping River,3.25,7.9,1.1,2560,0.37,8.15,25.9
Wandada Bridge,22.593358888888886,120.439785,Gaoping River,3.25,7.5,<1.0,1550,0.07,8.14,25.9
Shuangyuanda Bridge,22.49502777777778,120.41844444444445,Gaoping River,－,－,－,－,－,－,0
Sinfada Bridge,23.04855888888889,120.66916,Gaoping River,3.25,8.0,<1.0,956,0.01,8.22,23.2
Liougueida Bridge,22.99547111111111,120.63828000000001,Gaoping River,3.25,8.0,<1.0,938,0.03,8.27,23.8
Jiouru Bridge,22.724753055555553,120.48875611111112,Gaoping River,6.25,5.7,9.6,63.7,9.04,7.61,27.7
Dagean Bridge,22.880076111111112,120.64812305555556,Gaoping River,3.25,7.8,<1.0,1390,0.03,8.24,24.5
Beinoon Brideg,22.630278055555557,120.45802888888889,Gaoping River,3.50,3.9,2.8,7.9,2.86,7.35,29.0
Jiasian Intake,23.083111111111112,120.58455555555555,Gaoping River,3.25,8.4,<1.0,709,0.02,8.41,24.2
Yuemei Bridge,22.961101944444444,120.5217161111111,Gaoping River,3.25,8.3,1.0,1490,0.03,8.42,25.4
Sinciwei Bridge,22.874008055555556,120.487895,Gaoping River,3.25,7.8,<1.0,4520,0.08,8.32,26.3
Simenda Bridge,22.898643888888888,120.535864,Gaoping River,2.25,6.9,<1.0,87.4,0.13,7.90,28.1
